"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.948276000E0,8.554860077E0,-3.282224579E0,3.452570343E0,9.791775687E0
2.958218000E0,8.591982880E0,-3.253634033E0,3.412902832E0,9.800827004E0
2.968159000E0,8.677006073E0,-3.209326172E0,3.435954895E0,9.868940921E0
2.978100000E0,8.777297516E0,-3.194357300E0,3.414100342E0,9.944895745E0
2.988042000E0,8.816066895E0,-3.162323914E0,3.413501587E0,9.968717124E0
2.997983000E0,8.727151794E0,-3.095113678E0,3.329226837E0,9.840053783E0
3.007925000E0,8.630303192E0,-3.110082550E0,3.172951813E0,9.706820791E0
3.017866000E0,8.556656342E0,-3.161725159E0,3.087629242E0,9.630489503E0
3.027808000E0,8.499624939E0,-3.323838043E0,3.170257416E0,9.661369236E0
3.037749000E0,8.403375092E0,-3.359463959E0,3.312461700E0,9.637173524E0
3.047691000E0,8.300389252E0,-3.318449249E0,3.358416138E0,9.549215994E0
3.057632000E0,8.231981506E0,-3.224594421E0,3.325634308E0,9.445812419E0
3.067574000E0,8.198451233E0,-3.162922668E0,3.314257965E0,9.391644600E0
3.077515000E0,8.132588196E0,-3.150348816E0,3.297792206E0,9.324115071E0
3.087456000E0,8.055947571E0,-3.198997650E0,3.245251465E0,9.255459702E0
3.097398000E0,8.029452667E0,-3.221450958E0,3.250789948E0,9.242158389E0
3.107339000E0,8.140372009E0,-3.252885590E0,3.289559326E0,9.363125636E0
3.117281000E0,8.262817383E0,-3.196303253E0,3.309318237E0,9.457382978E0
3.127222000E0,8.443791046E0,-3.200344849E0,3.339405670E0,9.627639618E0
3.137164000E0,8.531358948E0,-3.240162048E0,3.437152405E0,9.751756367E0
3.147105000E0,8.570727081E0,-3.174897766E0,3.523223419E0,9.795429638E0
3.157047000E0,8.731941833E0,-3.057092743E0,3.601211243E0,9.927806738E0
3.166988000E0,8.796457672E0,-3.006348267E0,3.643273773E0,9.984449973E0
3.176929000E0,8.824748840E0,-2.998115387E0,3.676205292E0,1.001895071E1
3.186871000E0,8.817264404E0,-2.965333557E0,3.677851868E0,1.000319694E1
3.196812000E0,8.853788452E0,-2.938239899E0,3.655847626E0,1.001938349E1
3.206754000E0,8.898246002E0,-2.957699432E0,3.665577393E0,1.006793055E1
3.216695000E0,8.892408142E0,-3.016527100E0,3.727997589E0,1.010308489E1
3.226637000E0,8.870852966E0,-3.055296478E0,3.750301208E0,1.010404019E1
3.236578000E0,8.887019348E0,-3.055895233E0,3.708088989E0,1.010284774E1
3.246520000E0,8.941655731E0,-3.025957489E0,3.738176422E0,1.015300886E1
